,Aspect,avg_diff,max_diff,min_diff,perc_diff_positive,perc_diff_negative,added_count,updated_count,different_value
0,TITLE_TXT,0.84,1.0,-0.52,2.77,0.74,0,541,0
2,card_number,0.76,1.0,-0.04,0.94,0.0,164,370,107
7,parallel/variety,0.75,1.0,-0.02,2.0,0.0,21,279,196
11,set,0.52,0.52,-0.22,0.18,0.55,49,492,260
10,season,0.45,0.45,-0.09,0.18,0.18,9,532,89
4,insert_set,0.42,0.42,-0.12,0.4,0.4,221,28,18
5,league,0.12,0.13,-0.16,0.39,0.39,145,373,160
14,team,0.1,0.1,-0.19,0.19,0.58,122,395,78
3,features,0.08,0.08,-0.23,0.18,1.11,157,384,327
13,subset,0.07,0.07,-0.02,1.03,0.0,97,0,0
1,autographed,,0.0,-0.03,0.0,0.0,43,89,5
6,manufacturer,,0.02,-0.05,0.0,0.0,32,509,117
8,player/athlete,,0.01,-0.0,0.0,0.0,21,518,76
9,print_run,,0.02,-0.1,0.0,0.89,181,44,12
12,sport,,0.0,-0.0,0.0,0.0,0,541,35
