,Aspect,avg_diff,max_diff,min_diff,median_diff,perc_diff_positive,perc_diff_negative,row_count
1,card_number,0.11,0.99,-0.44,0.0,52.67,24.1,581
4,insert_set,0.05,1.0,-0.49,0.0,47.16,35.63,581
11,set,0.03,0.91,-0.53,0.0,44.06,33.05,581
10,season,0.02,0.84,-0.17,0.0,35.28,35.11,581
13,subset,0.01,0.74,-0.19,0.0,35.97,32.01,581
3,features,0.0,0.57,-0.41,0.0,44.23,45.09,581
2,character,0.0,0.0,-0.0,0.0,33.39,32.36,581
0,autographed,0.0,0.33,-0.24,0.0,38.55,39.07,581
7,parallel_variety,0.0,0.0,-0.0,0.0,30.64,30.98,581
6,manufacturer,0.0,0.25,-0.1,0.0,37.18,35.8,581
5,league,0.0,0.49,-0.65,0.0,38.04,42.51,581
9,print_run,0.0,0.63,-0.64,0.0,37.52,38.04,581
8,player_athlete,0.0,0.0,-0.0,0.0,31.67,32.01,581
12,sport,-0.0,0.36,-0.24,0.0,34.42,33.73,581
14,team,0.0,0.83,-0.32,0.0,36.66,33.91,581
15,year,0.0,0.0,-0.0,0.0,30.81,30.64,581
