,Aspect,avg_diff,max_diff,min_diff,perc_diff_positive,perc_diff_negative,added_count,updated_count,different_value
6,parallel/variety,0.64,1.0,-0.25,26.33,1.33,21,279,196
12,subset,0.59,1.0,-0.1,18.56,3.09,97,0,0
1,card_number,0.58,1.0,-0.18,21.35,1.12,164,370,107
3,insert_set,0.58,1.0,-0.43,24.9,3.61,221,28,18
7,player/athlete,0.46,1.0,-0.41,4.45,0.56,21,518,76
10,set,0.4,1.0,-0.63,9.43,3.7,49,492,260
9,season,0.37,0.95,-0.41,3.51,0.74,9,532,89
8,print_run,0.35,0.97,-0.46,5.78,5.78,181,44,12
13,team,0.19,0.47,-0.55,3.68,4.06,122,395,78
2,features,0.19,0.53,-0.72,7.39,6.28,157,384,327
5,manufacturer,0.18,0.85,-0.19,1.66,0.92,32,509,117
4,league,0.16,0.51,-0.52,3.09,4.63,145,373,160
0,autographed,0.14,0.26,-0.18,2.27,0.76,43,89,5
11,sport,0.09,0.12,-0.08,0.55,0.18,0,541,35
