,UID,TRUE_EPID,Aspect,Old Value,New Value,ITEM_SENTENCE,Score,Initial Score,Score Change,Added_1_Updated_0_Aspect,Item link,Product link
10,114831483023,16058005549,features,['Autograph' 'Serial Numbered' 'Memorabilia'],['Memorabilia'],"[TITLE_TXT] Bo Jackson autograph Ken Griffey jr auto Frank Thomas pop 1/1 autograph BGS 9.5  [sport] Baseball [player/athlete] Ken Griffey Jr Frank Thomas Bo Jackson, Frank Thomas, Ken Griffey Jr, Bo Jackson [manufacturer] Topps [features] Memorabilia [autographed] Yes",0.00012,0.00018,-5.00E-05,0,https://matchingdashboard.vip.ebay.com/?itemId=114831483023,https://matchingdashboard.vip.ebay.com/getProduct?epid=16058005549
11,114831483023,16058005549,autographed,['Yes'],['Yes'],"[TITLE_TXT] Bo Jackson autograph Ken Griffey jr auto Frank Thomas pop 1/1 autograph BGS 9.5  [sport] Baseball [player/athlete] Ken Griffey Jr Frank Thomas Bo Jackson, Frank Thomas, Ken Griffey Jr, Bo Jackson [manufacturer] Topps [features] Autograph, Serial Numbered, Memorabilia [autographed] Yes",0.00018,0.00018,0,0,https://matchingdashboard.vip.ebay.com/?itemId=114831483023,https://matchingdashboard.vip.ebay.com/getProduct?epid=16058005549
12,115305395186,14055901247,sport,['Baseball'],['Baseball'],[TITLE_TXT] 1989 Ken Griffey Jr Purple Hat Upper Deck Baseball Card PSA 6 RARE Holy Grail  [sport] Baseball [player/athlete] Ken Griffey Jr [parallel/variety] Purple [manufacturer] Upper Deck [set] 1989 Upper Deck [season] 1989,,,,0,https://matchingdashboard.vip.ebay.com/?itemId=115305395186,https://matchingdashboard.vip.ebay.com/getProduct?epid=14055901247
13,115305395186,14055901247,player_athlete,['Ken Griffey Jr'],['Ken Griffey Jr'],[TITLE_TXT] 1989 Ken Griffey Jr Purple Hat Upper Deck Baseball Card PSA 6 RARE Holy Grail  [sport] Baseball [player/athlete] Ken Griffey Jr [parallel/variety] Purple [manufacturer] Upper Deck [set] 1989 Upper Deck [season] 1989,,,,0,https://matchingdashboard.vip.ebay.com/?itemId=115305395186,https://matchingdashboard.vip.ebay.com/getProduct?epid=14055901247
14,115305395186,14055901247,manufacturer,['Upper Deck'],['Upper Deck'],[TITLE_TXT] 1989 Ken Griffey Jr Purple Hat Upper Deck Baseball Card PSA 6 RARE Holy Grail  [sport] Baseball [player/athlete] Ken Griffey Jr [parallel/variety] Purple [manufacturer] Upper Deck [set] 1989 Upper Deck [season] 1989,,,,0,https://matchingdashboard.vip.ebay.com/?itemId=115305395186,https://matchingdashboard.vip.ebay.com/getProduct?epid=14055901247
15,115305395186,14055901247,set,['1989 Upper Deck'],['1989 Upper Deck'],[TITLE_TXT] 1989 Ken Griffey Jr Purple Hat Upper Deck Baseball Card PSA 6 RARE Holy Grail  [sport] Baseball [player/athlete] Ken Griffey Jr [parallel/variety] Purple [manufacturer] Upper Deck [set] 1989 Upper Deck [season] 1989,,,,0,https://matchingdashboard.vip.ebay.com/?itemId=115305395186,https://matchingdashboard.vip.ebay.com/getProduct?epid=14055901247
16,115305395186,14055901247,card_number,,['1'],[TITLE_TXT] 1989 Ken Griffey Jr Purple Hat Upper Deck Baseball Card PSA 6 RARE Holy Grail  [sport] Baseball [player/athlete] Ken Griffey Jr [parallel/variety] Purple [manufacturer] Upper Deck [set] 1989 Upper Deck [card_number] 1 [season] 1989,,,,1,https://matchingdashboard.vip.ebay.com/?itemId=115305395186,https://matchingdashboard.vip.ebay.com/getProduct?epid=14055901247
17,115305395186,14055901247,season,['1989'],['1989'],[TITLE_TXT] 1989 Ken Griffey Jr Purple Hat Upper Deck Baseball Card PSA 6 RARE Holy Grail  [sport] Baseball [player/athlete] Ken Griffey Jr [parallel/variety] Purple [manufacturer] Upper Deck [set] 1989 Upper Deck [season] 1989,,,,0,https://matchingdashboard.vip.ebay.com/?itemId=115305395186,https://matchingdashboard.vip.ebay.com/getProduct?epid=14055901247
18,115305395186,14055901247,team,,['Seattle Mariners'],[TITLE_TXT] 1989 Ken Griffey Jr Purple Hat Upper Deck Baseball Card PSA 6 RARE Holy Grail  [sport] Baseball [player/athlete] Ken Griffey Jr [parallel/variety] Purple [manufacturer] Upper Deck [set] 1989 Upper Deck [season] 1989 [team] Seattle Mariners,,,,1,https://matchingdashboard.vip.ebay.com/?itemId=115305395186,https://matchingdashboard.vip.ebay.com/getProduct?epid=14055901247
19,115305395186,14055901247,league,,['Major League Baseball (MLB)'],[TITLE_TXT] 1989 Ken Griffey Jr Purple Hat Upper Deck Baseball Card PSA 6 RARE Holy Grail  [sport] Baseball [player/athlete] Ken Griffey Jr [parallel/variety] Purple [manufacturer] Upper Deck [set] 1989 Upper Deck [season] 1989 [league] Major League Baseball (MLB),,,,1,https://matchingdashboard.vip.ebay.com/?itemId=115305395186,https://matchingdashboard.vip.ebay.com/getProduct?epid=14055901247
20,115305395186,14055901247,features,,['Rookie'],[TITLE_TXT] 1989 Ken Griffey Jr Purple Hat Upper Deck Baseball Card PSA 6 RARE Holy Grail  [sport] Baseball [player/athlete] Ken Griffey Jr [parallel/variety] Purple [manufacturer] Upper Deck [set] 1989 Upper Deck [season] 1989 [features] Rookie,,,,1,https://matchingdashboard.vip.ebay.com/?itemId=115305395186,https://matchingdashboard.vip.ebay.com/getProduct?epid=14055901247
21,115349905645,27055914105,sport,['Baseball'],['Baseball'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [season] 2021 [features] One of One,7e-05,7e-05,0,0,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
22,115349905645,27055914105,player_athlete,['See Title and Pictures'],['Brennen Davis'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] Brennen Davis [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [season] 2021 [features] One of One,8e-05,7e-05,1e-05,0,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
23,115349905645,27055914105,parallel_variety,['Patch'],['Nebula Prizm'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Nebula Prizm [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [season] 2021 [features] One of One,6e-05,7e-05,-1.00E-05,0,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
24,115349905645,27055914105,manufacturer,['See TITLE AND Pictures'],['Panini'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] Panini [set] 2021 Panini Spectra [season] 2021 [features] One of One,7e-05,7e-05,0,0,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
25,115349905645,27055914105,set,['2021 Panini Spectra'],['2021 Panini Spectra'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [season] 2021 [features] One of One,7e-05,7e-05,0,0,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
26,115349905645,27055914105,card_number,,['NE-BD'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [card_number] NE-BD [season] 2021 [features] One of One,0.00017,7e-05,0.0001,1,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
27,115349905645,27055914105,print_run,,['1'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [print_run] 1 [season] 2021 [features] One of One,6e-05,7e-05,-1.00E-05,1,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
28,115349905645,27055914105,season,['2021'],['2021'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [season] 2021 [features] One of One,7e-05,7e-05,0,0,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
29,115349905645,27055914105,team,,['Chicago Cubs'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [season] 2021 [team] Chicago Cubs [features] One of One,6e-05,7e-05,-1.00E-05,1,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
30,115349905645,27055914105,league,,['Major League Baseball (MLB)'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [season] 2021 [league] Major League Baseball (MLB) [features] One of One,6e-05,7e-05,-1.00E-05,1,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
31,115349905645,27055914105,insert_set,,['Next Era Materials'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [season] 2021 [insert_set] Next Era Materials [features] One of One,0.0002,7e-05,0.00013,1,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
32,115349905645,27055914105,features,['One of One'],['Memorabilia'],[TITLE_TXT] Brennen Davis 2021 Panini Spectra Majestic Jersey Patch 1/1 One of One Cubs [sport] Baseball [player/athlete] See Title and Pictures [parallel/variety] Patch [manufacturer] See TITLE AND Pictures [set] 2021 Panini Spectra [season] 2021 [features] Memorabilia,7e-05,7e-05,0,0,https://matchingdashboard.vip.ebay.com/?itemId=115349905645,https://matchingdashboard.vip.ebay.com/getProduct?epid=27055914105
33,115996913176,8064165534,sport,['Basketball'],['Basketball'],[TITLE_TXT] 2023-24 NBA Hoops - GOLD FOIL Now Playing #26 Victor Wembanyama RC Spurs [sport] Basketball [player/athlete] Victor Wembanyama [parallel/variety] Foil [manufacturer] Panini [set] 2023-24 Nba Hoops [card_number] 1 [season] 2023-24 [team] San Antonio Spurs [league] National Basketball Association (NBA) [features] Rookie [autographed] No [year_manufactured] 2023,0.00015,0.00015,0,0,https://matchingdashboard.vip.ebay.com/?itemId=115996913176,https://matchingdashboard.vip.ebay.com/getProduct?epid=8064165534
34,115996913176,8064165534,player_athlete,['Victor Wembanyama'],['Victor Wembanyama'],[TITLE_TXT] 2023-24 NBA Hoops - GOLD FOIL Now Playing #26 Victor Wembanyama RC Spurs [sport] Basketball [player/athlete] Victor Wembanyama [parallel/variety] Foil [manufacturer] Panini [set] 2023-24 Nba Hoops [card_number] 1 [season] 2023-24 [team] San Antonio Spurs [league] National Basketball Association (NBA) [features] Rookie [autographed] No [year_manufactured] 2023,0.00015,0.00015,0,0,https://matchingdashboard.vip.ebay.com/?itemId=115996913176,https://matchingdashboard.vip.ebay.com/getProduct?epid=8064165534
35,115996913176,8064165534,parallel_variety,['Foil'],['Holo'],[TITLE_TXT] 2023-24 NBA Hoops - GOLD FOIL Now Playing #26 Victor Wembanyama RC Spurs [sport] Basketball [player/athlete] Victor Wembanyama [parallel/variety] Holo [manufacturer] Panini [set] 2023-24 Nba Hoops [card_number] 1 [season] 2023-24 [team] San Antonio Spurs [league] National Basketball Association (NBA) [features] Rookie [autographed] No [year_manufactured] 2023,0.00325,0.00015,0.0031,0,https://matchingdashboard.vip.ebay.com/?itemId=115996913176,https://matchingdashboard.vip.ebay.com/getProduct?epid=8064165534
36,115996913176,8064165534,manufacturer,['Panini'],['Panini'],[TITLE_TXT] 2023-24 NBA Hoops - GOLD FOIL Now Playing #26 Victor Wembanyama RC Spurs [sport] Basketball [player/athlete] Victor Wembanyama [parallel/variety] Foil [manufacturer] Panini [set] 2023-24 Nba Hoops [card_number] 1 [season] 2023-24 [team] San Antonio Spurs [league] National Basketball Association (NBA) [features] Rookie [autographed] No [year_manufactured] 2023,0.00015,0.00015,0,0,https://matchingdashboard.vip.ebay.com/?itemId=115996913176,https://matchingdashboard.vip.ebay.com/getProduct?epid=8064165534
